wavelength [nm],intensity
786.18619, 0.00841889
786.38639, 0.01365065
786.58659, 0.02126401
786.78679, 0.03182223
786.98699, 0.04575192
787.18719, 0.06319483
787.38739, 0.08385851
787.58759, 0.10690701
787.78779, 0.13093587
787.98799, 0.15406519
788.18819, 0.17415816
788.38839, 0.18913702
788.58859, 0.19733436
788.78879, 0.19779818
788.98899, 0.19047383
789.18919, 0.17621454
789.38939, 0.15661797
789.58959, 0.13373186
789.78979, 0.10970378
789.98999, 0.08645731
790.19019, 0.06545989
790.39039, 0.04761483
790.59059, 0.03327382
790.79079, 0.02233863
790.99099, 0.01440800
791.19119, 0.00892780
791.39139, 0.00531470
791.59159, 0.00303953
791.79179, 0.00167004
791.99199, 0.00088154
792.19219, 0.00044704
792.39239, 0.00021780
792.59259, 0.00010194
792.79279, 0.00004584
792.99299, 0.00001980
793.19319, 0.00000822
793.39339, 0.00000328
793.59359, 0.00000126
793.79379, 0.00000046
793.99399, 0.00000016
794.19419, 0.00000006
794.39439, 0.00000002
794.59459, 0.00000001
794.79479, 0.00000000
794.99499, 0.00000000
795.19520, 0.00000000
795.39540, 0.00000001
795.59560, 0.00000002
795.79580, 0.00000004
795.99600, 0.00000012
796.19620, 0.00000030
796.39640, 0.00000073
796.59660, 0.00000172
796.79680, 0.00000388
796.99700, 0.00000844
797.19720, 0.00001762
797.39740, 0.00003534
797.59760, 0.00006810
797.79780, 0.00012607
797.99800, 0.00022422
798.19820, 0.00038312
798.39840, 0.00062891
798.59860, 0.00099184
798.79880, 0.00150273
798.99900, 0.00218734
799.19920, 0.00305875
799.39940, 0.00410927
799.59960, 0.00530371
799.79980, 0.00657640
800.00000, 0.00783412
