wavelength [nm],absorbance
516.90669, 0.46872373
516.92169, 0.44326403
516.93669, 0.41822203
516.95170, 0.39369340
516.96670, 0.36976427
516.98170, 0.34651098
516.99670, 0.32399998
517.01170, 0.30228787
517.02670, 0.28142157
517.04170, 0.26143854
517.05671, 0.24236719
517.07171, 0.22422729
517.08671, 0.20703053
517.10171, 0.19078108
517.11671, 0.17547621
517.13171, 0.16110700
517.14671, 0.14765900
517.16172, 0.13511295
517.17672, 0.12344549
517.19172, 0.11262985
517.20672, 0.10263652
517.22172, 0.09343396
517.23672, 0.08498918
517.25173, 0.07726837
517.26673, 0.07023744
517.28173, 0.06386255
517.29673, 0.05811061
517.31173, 0.05294965
517.32673, 0.04834929
517.34173, 0.04428103
517.35674, 0.04071859
517.37174, 0.03763817
517.38674, 0.03501867
